Name,Twitter,hansard_member_id,hansard_member_name,Party,Constituency,2015MP,2010MP
Matthew Hancock ,@MattHancockMP ,uk.m.24773,Matthew Hancock,Conservative,West Suffolk,1,
Matthew Offord ,@Offord4Hendon ,uk.m.24955,Matthew Offord,Conservative,Hendon,1,
Matthew Pennycook ,@mtpennycook ,.,.,Labour,Greenwich and Woolwich,1,
Meg Hillier ,@Meg_HillierMP ,uk.m.11605,Meg Hillier,Labour Co-operative,Hackney South and Shoreditch,1,
Meg Munn,@MegMunn01,uk.m.11128,Meg Munn,,,,1
Mel Stride ,.,uk.m.24914,Mel Stride,Conservative,Central Devon,1,
Melanie Onn ,@OnnMel ,.,.,Labour,Great Grimsby,1,
Mhairi Black ,@MhairiBlack ,.,.,Labour,Paisley and Renfrewshire South,1,
Michael Connarty,.,uk.m.10128,Michael Connarty,,,,1
Michael Dugher ,@MichaelDugher ,uk.m.24762,Michael Dugher,Labour,Barnsley East,1,
Michael Ellis ,@Michael_Ellis1 ,uk.m.24866,Michael Ellis,Conservative,Northampton North,1,
Michael Fabricant ,@Mike_Fabricant ,uk.m.10193,Michael Fabricant,Conservative,Lichfield,1,
Michael Fallon ,.,uk.m.10194,Michael Fallon,Conservative,Sevenoaks,1,
Michael Gove ,.,uk.m.11858,Michael Gove,Conservative,Surrey Heath,1,
Michael Meacher ,.,uk.m.10427,Michael Meacher,Labour,Oldham West and Royton,1,
Michael McCann,.,uk.m.24717,Michael McCann,,,,1
Michael Penning,.,uk.m.11626,Michael Penning,,,,1
Michael Tomlinson ,@Michael4MDNP ,.,.,Liberal Democrats,Mid Dorset and North Poole,1,
Michelle Donelan ,@michelledonelan ,.,.,Liberal Democrats,Chippenham,1,
Michelle Thomson ,@MichelleThomson ,.,.,Liberal Democrats,Edinburgh West,1,
Mickey Brady ,@MickeyBradySF ,.,.,Sinn Féin,Newry and Armagh,1,
Mike Freer ,@mikefreermp ,uk.m.24934,Mike Freer,Conservative,Finchley and Golders Green,1,
Mike Gapes ,@MikeGapes ,uk.m.10219,Mike Gapes,Labour Co-operative,Ilford South,1,
Mike Kane ,@MikeKaneMP ,.,.,Labour,Wythenshawe and Sale East,1,
Mike Penning ,.,.,.,Conservative,Hemel Hempstead,1,
Mike Weatherley,.,uk.m.24889,Mike Weatherley,,,,1
Mike Weir ,@mikeweirsnp ,.,.,SNP,Angus,1,
Mike Wood ,@mikejwood ,uk.m.10650,Mike Wood,Conservative,Dudley South,1,
Mims Davies ,@mimsdavies ,.,.,Liberal Democrats,Eastleigh,1,
Nadhim Zahawi ,@nadhimzahawi ,uk.m.24822,Nadhim Zahawi,Conservative,Stratford-on-Avon,1,
Nadine Dorries ,@NadineDorriesMP ,uk.m.11397,Nadine Dorries,Conservative,Mid Bedfordshire,1,
Natalie McGarry ,@NatalieMcgarry ,.,.,Labour,Glasgow East,1,
Natascha Engel ,.,uk.m.11534,Natascha Engel,Labour,North East Derbyshire,1,
Naz Shah ,@NazShahBfd,.,.,Respect,Bradford West,1,
Neil Carmichael ,@stroud_neil ,uk.m.24840,Neil Carmichael,Conservative,Stroud,1,
Neil Coyle ,@coyleneil ,.,.,Liberal Democrats,Bermondsey and Old Southwark,1,
Neil Gray ,@NeilGrayMP ,.,.,Labour,Airdrie and Shotts,1,
Neil Parish ,@neil_parish,uk.m.24779,Neil Parish,Conservative,Tiverton and Honiton,1,
Nia Griffith ,@NiaGriffithMP ,uk.m.11692,Nia Griffith,Labour,Llanelli,1,
Nic Dakin ,@NicDakinMP ,uk.m.24798,Nicholas Dakin,Labour,Scunthorpe,1,
Nicholas Boles ,@NickBolesMP ,uk.m.24766,Nicholas Boles,Conservative,Grantham and Stamford,1,
Nicholas Soames ,@nsoamesmp ,uk.m.10555,Nicholas Soames,Conservative,Mid Sussex,1,
Nick Brown ,.,uk.m.10069,Nick Brown,Labour,Newcastle upon Tyne East,1,
Nick de Bois,@nickdebois,uk.m.24859,Nick de Bois,,,,1
Nick Clegg ,@nick_clegg ,.,.,Liberal Democrats,Sheffield Hallam,1,
Nick Gibb ,@NickGibbMP ,uk.m.10225,Nick Gibb,Conservative,Bognor Regis and Littlehampton,1,
Nick Herbert ,@nickherbertmp ,uk.m.11377,Nick Herbert,Conservative,Arundel and South Downs,1,
Nick Hurd ,@nickhurdmp ,uk.m.11792,Nick Hurd,Conservative,"Ruislip, Northwood and Pinner",1,
Nick Raynsford,.,uk.m.10498,Nick Raynsford,,,,1
Nick Smith ,@BlaenauGwentMP ,uk.m.24728,Nick Smith,Labour,Blaenau Gwent,1,
Nick Thomas-Symonds ,@NickTorfaenMP ,.,.,Labour,Torfaen,1,
Nicky Morgan ,@NickyMorgan01 ,uk.m.24732,Nicky Morgan,Conservative,Loughborough,1,
Nicola Blackwood ,@nicolablackwood ,uk.m.24842,Nicola Blackwood,Conservative,Oxford West and Abingdon,1,
Nigel Adams ,.,uk.m.24878,Nigel Adams,Conservative,Selby and Ainsty,1,
Nigel Dodds ,@NigelDoddsDUP ,.,.,DUP,Belfast North,1,
Nigel Evans ,.,uk.m.10190,Nigel Evans,Conservative,Ribble Valley,1,
Nigel Huddleston ,@HuddlestonNigel ,.,.,Conservative,Mid Worcestershire,1,
Nigel Mills ,@NigelMillsMP ,uk.m.24965,Nigel Mills,Conservative,Amber Valley,1,
Norman Lamb ,@normanlamb ,.,.,Liberal Democrats,North Norfolk,1,
Nus Ghani ,@Nus_Ghani,.,.,Conservative,Wealden,1,
Oliver Colvile ,@olivercolvile ,uk.m.24898,Oliver Colvile,Conservative,"Plymouth, Sutton and Devonport",1,
Oliver Dowden ,.,.,.,Conservative,Hertsmere,1,
Oliver Heald ,@OliverHealdMP ,uk.m.10267,Oliver Heald,Conservative,North East Hertfordshire,1,
Oliver Letwin ,@OliverLetwinMP ,uk.m.10355,Oliver Letwin,Conservative,West Dorset,1,
Owen Paterson ,@Owen_PatersonMP ,uk.m.10473,Owen Paterson,Conservative,North Shropshire,1,
Owen Smith ,@OwenSmith_MP ,uk.m.24797,Owen Smith,Labour,Pontypridd,1,
Owen Thompson ,@OwenThompson ,.,.,Labour,Midlothian,1,
Pamela Nash,@pamela_nash,uk.m.24737,Pamela Nash,,,,1
Pat Doherty ,@PatDohertyMP ,.,.,Sinn Féin,West Tyrone,1,
Pat Glass ,@PatGlassMP ,uk.m.24917,Pat Glass,Labour,North West Durham,1,
Pat McFadden ,@patmcfaddenmp ,uk.m.11936,Pat McFadden,Labour,Wolverhampton South East,1,
Patricia Gibson ,@PGibsonSNP ,.,.,Labour,North Ayrshire and Arran,1,
Patrick Grady ,@GradySNP ,.,.,Labour,Glasgow North,1,
Patrick McLoughlin ,@Patrick4Dales ,uk.m.10397,Patrick McLoughlin,Conservative,Derbyshire Dales,1,
Patrick Mercer,.,uk.m.11109,Patrick Mercer,,,,1
Paul Beresford ,@PaulBeresfordMP ,uk.m.10041,Paul Beresford,Conservative,Mole Valley,1,
Paul Blomfield ,@PaulBlomfieldMP ,uk.m.24943,Paul Blomfield,Labour,Sheffield Central,1,
Paul Farrelly ,.,uk.m.10882,Paul Farrelly,Labour,Newcastle-under-Lyme,1,
Paul Flynn ,@PaulFlynnMP ,.,.,Labour,Newport West,1,
Paul Goggins,.,uk.m.10232,Paul Goggins,,,,1
Paul Maskey ,@PaulMaskeyMP ,.,.,Sinn Féin,Belfast West,1,
Paul Maynard ,@PaulMaynardMP ,uk.m.24764,Paul Maynard,Conservative,Blackpool North and Cleveleys,1,
Paul Monaghan ,@_PaulMonaghan ,.,.,Liberal Democrats,"Caithness, Sutherland and Easter Ross",1,
Paul Murphy,.,uk.m.10454,Paul Murphy,,,,1
Paul Scully ,@scullyp ,.,.,Liberal Democrats,Sutton and Cheam,1,
Paul Uppal,@PaulUppalWSW,uk.m.24886,Paul Uppal,,,,1
Paula Sherriff ,@paulasherriff ,.,.,Conservative,Dewsbury,1,
Pauline Latham ,@Pauline_Latham ,uk.m.24821,Pauline Latham,Conservative,Mid Derbyshire,1,
Penny Mordaunt ,@PennyMordauntMP ,uk.m.24938,Penny Mordaunt,Conservative,Portsmouth North,1,
Pete Wishart ,@PeteWishart ,.,.,SNP,Perth and North Perthshire,1,
Peter Aldous ,@peter_aldous ,uk.m.24904,Peter Aldous,Conservative,Waveney,1,
Peter Bone ,@PeterBoneMP ,uk.m.11915,Peter Bone,Conservative,Wellingborough,1,
Peter Bottomley ,@PBottomleyMP,uk.m.10057,Peter Bottomley,Conservative,Worthing West,1,
Peter Dowd ,@Peter_Dowd ,.,.,Labour,Bootle,1,
Peter Hain,@PeterHain,uk.m.10252,Peter Hain,,,,1
Peter Grant ,@PeterGrantMP ,.,.,Labour,Glenrothes,1,
Peter Heaton-Jones ,@PeterNorthDevon ,.,.,Liberal Democrats,North Devon,1,
Peter Kyle ,@peterkyle ,.,.,Conservative,Hove,1,
Peter Lilley ,@LilleyPeter ,uk.m.10362,Peter Lilley,Conservative,Hitchin and Harpenden,1,
Peter Luff,@PeterJLuff,uk.m.10373,Peter Luff,,,,1
Peter Soulsby,.,uk.m.11675,Peter Soulsby,,,,1
Peter Tapsell,@SirPeterTapsell,uk.m.10583,Peter Tapsell,,,,1
Phil Boswell ,@PhilBoswellSNP ,.,.,Labour,"Coatbridge, Chryston and Bellshill",1,
Phil Wilson ,@PhilWilsonMP ,uk.m.13933,Phil Wilson,Labour,Sedgefield,1,
Phil Woolas,.,uk.m.10652,Phil Woolas,,,,1
Philip Davies ,@PhilipDaviesMP ,.,.,Conservative,Shipley,1,
Philip Dunne ,@Dunne4Ludlow ,uk.m.11696,Philip Dunne,Conservative,Ludlow,1,
Philip Hammond ,@PHammondMP ,.,.,Conservative,Runnymede and Weybridge,1,
Philip Hollobone ,.,uk.m.11661,Philip Hollobone,Conservative,Kettering,1,
Philippa Whitford ,@Dr_PhilippaW ,.,.,Labour,Central Ayrshire,1,
Phillip Lee ,@DrPhillipLeeMP ,uk.m.24765,Phillip Lee,Conservative,Bracknell,1,
Priti Patel ,@patel4witham ,uk.m.24778,Priti Patel,Conservative,Witham,1,
Rachael Maskell ,@RachaelMaskell ,.,.,Labour,York Central,1,
Rachel Reeves ,@RachelReevesMP ,uk.m.24851,Rachel Reeves,Labour,Leeds West,1,
Ranil Jayawardena ,@TellRanil ,.,.,Conservative,North East Hampshire,1,
Rebecca Harris ,@RebeccaHarrisMP ,uk.m.24731,Rebecca Harris,Conservative,Castle Point,1,
Rebecca Long-Bailey ,@RLong_Bailey ,.,.,Labour,Salford and Eccles,1,
Rebecca Pow ,@pow_rebecca ,.,.,Liberal Democrats,Taunton Deane,1,
Rehman Chishti ,@Rehman_Chishti ,uk.m.24920,Rehman Chishti,Conservative,Gillingham and Rainham,1,
Richard Arkless ,@ArklessRichard ,.,.,Labour,Dumfries and Galloway,1,
Richard Bacon ,@Bacon4SNorfolk ,uk.m.10707,Richard Bacon,Conservative,South Norfolk,1,
Richard Benyon ,@RichardBenyonMP ,uk.m.11727,Richard Benyon,Conservative,Newbury,1,
Richard Burden ,@RichardBurdenMP ,uk.m.10076,Richard Burden,Labour,"Birmingham, Northfield",1,
Richard Burgon ,@RichardBurgon ,.,.,Labour,Leeds East,1,
Richard Drax ,@RichardDrax_MP ,uk.m.24903,Richard Drax,Conservative,South Dorset,1,
Richard Fuller ,.,uk.m.24787,Richard Fuller,Conservative,Bedford,1,
Richard Graham ,@RichardGrahamMP ,uk.m.24921,Richard Graham,Conservative,Gloucester,1,
Richard Harrington ,@Richard4Watford ,uk.m.24954,Richard Harrington,Conservative,Watford,1,
Richard Ottaway,.,uk.m.10468,Richard Ottaway,,,,1
Richard Shepherd,.,uk.m.10537,Richard Shepherd,,,,1
Rishi Sunak ,.,.,.,Conservative,Richmond (Yorks),1,
Rob Flello ,@RobFlelloMP ,uk.m.11843,Robert Flello,Labour,Stoke-on-Trent South,1,
Rob Marris ,@WSW_Labour ,.,.,Conservative,Wolverhampton South West,1,
Rob Wilson ,@RobWilson_RDG ,.,.,Conservative,Reading East,1,
Robert Buckland ,@RobertBuckland ,uk.m.24843,Robert Buckland,Conservative,South Swindon,1,
Robert Goodwill ,.,uk.m.11804,Robert Goodwill,Conservative,Scarborough and Whitby,1,
Robert Halfon ,@halfon4harlowMP ,uk.m.24784,Robert Halfon,Conservative,Harlow,1,
Robert Jenrick ,@RobertJenrick ,.,,Conservative,Newark,1,
Robert Syms ,@robertsymsmp ,uk.m.10582,Robert Syms,Conservative,Poole,1,
Robert Walter,.,uk.m.10620,Robert Walter,,,,1
Roberta Blackman-Woods ,@robertabwMP ,uk.m.11558,Roberta Blackman-Woods,Labour,City of Durham,1,
Robin Walker ,@WalkerWorcester ,uk.m.24862,Robin Walker,Conservative,Worcester,1,
Roger Gale ,.,uk.m.10217,Roger Gale,Conservative,North Thanet,1,
Roger Godsiff ,@RogerGodsiff ,uk.m.10231,Roger Godsiff,Labour,"Birmingham, Hall Green",1,
Roger Mullin ,@RogMull ,.,.,Labour,Kirkcaldy and Cowdenbeath,1,
Ronnie Campbell ,.,uk.m.10089,Ronnie Campbell,Labour,Blyth Valley,1,
Ronnie Cowan ,@ronniecowan ,.,.,Labour,Inverclyde,1,
Rory Stewart ,@RoryStewartUK ,uk.m.24964,Rory Stewart,Conservative,Penrith and The Border,1,
Rosie Cooper ,@rosie4westlancs ,uk.m.11667,Rosie Cooper,Labour,West Lancashire,1,
Rosie Winterton ,.,uk.m.10648,Rosie Winterton,Labour,Doncaster Central,1,
Royston Smith ,@Royston_Smith ,.,.,Labour,Southampton Itchen,1,
Rupa Huq ,@RupaHuq ,.,.,Conservative,Ealing Central and Acton,1,
Rushanara Ali ,@rushanaraali ,uk.m.24958,Rushanara Ali,Labour,Bethnal Green and Bow,1,
Russell Brown,.,uk.m.10070,Russell Brown,,,,1
Ruth Cadbury ,@RuthCadbury ,.,.,Conservative,Brentford and Isleworth,1,
Ruth Smeeth ,@RuthSmeeth ,.,.,Labour,Stoke-on-Trent North,1,
Sadiq Khan ,@SadiqKhan ,uk.m.11878,Sadiq Khan,Labour,Tooting,1,
Sajid Javid ,@sajidjavid ,uk.m.24854,Sajid Javid,Conservative,Bromsgrove,1,
Sam Gyimah ,@SamGyimah ,uk.m.24789,Sam Gyimah,Conservative,East Surrey,1,
Sandra Osborne,.,uk.m.10467,Sandra Osborne,,,,1
Sammy Wilson ,@eastantrimmp ,.,.,DUP,East Antrim,1,
Sarah Champion ,@SarahChampionMP ,uk.m.25168,Sarah Champion,Labour,Rotherham,1,
Sarah Newton ,@SarahNewtonMP ,uk.m.24948,Sarah Newton,Conservative,Truro and Falmouth,1,
Sarah Wollaston ,@sarahwollaston ,uk.m.24761,Sarah Wollaston,Conservative,Totnes,1,
Scott Mann ,@scottmannmp ,.,.,Liberal Democrats,North Cornwall,1,
Seema Kennedy ,@SeemaKennedy ,.,.,Conservative,South Ribble,1,
Seema Malhotra ,@SeemaMalhotra1 ,uk.m.25150,Seema Malhotra,Labour Co-operative,Feltham and Heston,1,
Shabana Mahmood ,@ShabanaMahmood ,uk.m.24788,Shabana Mahmood,Labour,"Birmingham, Ladywood",1,
Shailesh Vara ,.,uk.m.11475,Shailesh Vara,Conservative,North West Cambridgeshire,1,
Sharon Hodgson ,@SharonHodgsonMP ,uk.m.11592,Sharon Hodgson,Labour,Washington and Sunderland West,1,
Shaun Woodward,.,uk.m.10651,Shaun Woodward,,,,1
Sheila Gilmore,@SheilaGilmore49,uk.m.24763,Sheila Gilmore,,,,1
Sheryll Murray ,@sheryllmurray ,uk.m.24875,Sheryll Murray,Conservative,South East Cornwall,1,
Siân James,@SianCJames1,uk.m.11863,Siân James,,,,1
Simon Burns ,.,uk.m.10079,Simon Burns,Conservative,Chelmsford,1,
Simon Danczuk ,@SimonDanczuk ,uk.m.24808,Simon Danczuk,Labour,Rochdale,1,
Simon Hart ,@Simonhartmp ,uk.m.24813,Simon Hart,Conservative,Carmarthen West and South Pembrokeshire,1,
Simon Hoare ,@Simon4NDorset,.,.,Conservative,North Dorset,1,
Simon Kirby ,.,uk.m.24900,Simon Kirby,Conservative,Brighton Kemptown,1,
Simon Reevell,@simonreevell,uk.m.24858,Simon Reevell,,,,1
Siobhain McDonagh ,@Siobhain_MP ,uk.m.10381,Siobhain McDonagh,Labour,Mitcham and Morden,1,
Stella Creasy ,@stellacreasy ,uk.m.24949,Stella Creasy,Labour Co-operative,Walthamstow,1,
Stephen Barclay ,@SteveBarclayMP,uk.m.24916,Stephen Barclay,Conservative,North East Cambridgeshire,1,
Stephen Crabb ,@scrabbmp ,uk.m.11768,Stephen Crabb,Conservative,Preseli Pembrokeshire,1,
Stephen Dorrell,.,uk.m.10175,Stephen Dorrell,,,,1
Stephen Doughty ,@SDoughtyMP ,uk.m.25166,Stephen Doughty,Labour Co-operative,Cardiff South and Penarth,1,
Stephen Gethins ,@StephenGethins ,.,.,Liberal Democrats,North East Fife,1,
Stephen Hammond ,@S_Hammond ,uk.m.11927,Stephen Hammond,Conservative,Wimbledon,1,
Stephen Hepburn ,@jarrowstevemp ,uk.m.10274,Stephen Hepburn,Labour,Jarrow,1,
Stephen Kinnock ,@SKinnock ,.,.,Labour,Aberavon,1,
Stephen McPartland ,@SMcPartlandMP ,uk.m.24888,Stephen McPartland,Conservative,Stevenage,1,
Stephen Metcalfe ,@Metcalfe_SBET ,uk.m.24749,Stephen Metcalfe,Conservative,South Basildon and East Thurrock,1,
Stephen Mosley,@stephen_mosley,uk.m.24750,Stephen Mosley,,,,1
Stephen O'Brien,@UNReliefChief,uk.m.10670,Stephen O'Brien,,,,1
Stephen Phillips ,.,uk.m.24836,Stephen Phillips,Conservative,Sleaford and North Hykeham,1,
Stephen Pound ,.,uk.m.10484,Stephen Pound,Labour,Ealing North,1,
Stephen Timms ,@stephenctimms ,uk.m.10596,Stephen Timms,Labour,East Ham,1,
Stephen Twigg ,@StephenTwigg ,uk.m.10611,Stephen Twigg,Labour Co-operative,Liverpool West Derby,1,
Steve Baker ,@SteveBakerHW ,uk.m.24786,Steven Baker,Conservative,Wycombe,1,
Steve Brine ,@sbrine ,uk.m.24901,Steve Brine,Conservative,Winchester,1,
Steve Double ,@stevedouble ,.,.,Liberal Democrats,St Austell and Newquay,1,
Steve McCabe ,@steve_mccabe ,uk.m.10377,Stephen McCabe,Labour,"Birmingham, Selly Oak",1,
Steve Reed ,@SteveReedMP ,uk.m.25170,Steve Reed,Labour Co-operative,Croydon North,1,
Steve Rotheram ,@Steve_Rotheram ,uk.m.24935,Steve Rotheram,Labour,Liverpool Walton,1,
Steven Paterson ,@Steven4Stirling ,.,.,Labour,Stirling,1,
Stewart Hosie ,@StewartHosieSNP ,.,.,SNP,Dundee East,1,
Stewart Jackson ,@Stewart4Pboro ,uk.m.11759,Stewart Jackson,Conservative,Peterborough,1,
Stewart McDonald ,@StewartMcDonald ,.,.,Labour,Glasgow South,1,
Stuart Andrew ,@StuartAndrew ,uk.m.24864,Stuart Andrew,Conservative,Pudsey,1,
Stuart Bell,.,uk.m.10036,Stuart Bell,,,,1
Stuart Donaldson ,@StuieDonaldson ,.,.,Liberal Democrats,West Aberdeenshire and Kincardine,1,
Stuart McDonald ,@Stuart_McDonald ,.,.,Labour,"Cumbernauld, Kilsyth and Kirkintilloch East",1,
Sue Hayman ,@SueHayman1 ,.,.,Labour,Workington,1,
Suella Fernandes ,@SuellaFernandes ,.,.,Conservative,Fareham,1,
Susan Elan Jones ,@susanelanjones ,uk.m.24720,Susan Elan Jones,Labour,Clwyd South,1,
"Sylvia, Lady Hermon ",.,.,.,Independent,North Down,1,
Tania Mathias ,@tania_mathias ,.,,Liberal Democrats,Twickenham,1,
Tasmina Ahmed-Sheikh ,@TasminaSheikh ,.,.,Labour,Ochil and South Perthshire,1,
Teresa Pearce ,@tpearce003 ,uk.m.24956,Teresa Pearce,Labour,Erith and Thamesmead,1,
Tessa Jowell,@TessaJowell,uk.m.10326,Tessa Jowell,,,,
Thangam Debbonaire ,@tdebbonaire ,.,.,Liberal Democrats,Bristol West,1,
Theresa May ,.,uk.m.10426,Theresa May,Conservative,Maidenhead,1,
Theresa Villiers ,.,.,.,Conservative,Chipping Barnet,1,
Therese Coffey ,@theresecoffey ,uk.m.24771,Therese Coffey,Conservative,Suffolk Coastal,1,
Thomas Docherty,@Thomas_Docherty,uk.m.24730,Thomas Docherty,,,,1
Tim Farron ,@timfarron,.,.,Liberal Democrats,Westmorland and Lonsdale,1,
Tim Loughton ,@timloughton ,uk.m.10371,Tim Loughton,Conservative,East Worthing and Shoreham,1,
Tim Yeo,.,uk.m.10658,Tim Yeo,,,,1
Tobias Ellwood ,@Tobias_Ellwood,uk.m.11437,Tobias Ellwood,Conservative,Bournemouth East,1,
Toby Perkins ,@tobyperkinsmp,uk.m.24845,Toby Perkins,Labour,Chesterfield,1,
Tom Blenkinsop ,.,uk.m.24848,Tom Blenkinsop,Labour,Middlesbrough South and East Cleveland,1,
Tom Brake ,@thomasbrake ,.,.,Liberal Democrats,Carshalton and Wallington,1,
Tom Clarke,.,uk.m.10116,Tom Clarke,,,,1
Tom Greatrex,@tomjgreatrex,uk.m.24714,Tom Greatrex,,,,1
Tom Harris,@MrTCHarris,uk.m.10941,Tom Harris,,,,1
Tom Elliott ,@telliott_UUP ,.,.,Sinn Féin,Fermanagh and South Tyrone,1,
Tom Pursglove ,@VotePursglove ,.,.,Labour Co-operative,Corby,1,
Tom Tugendhat ,@TomTugendhat ,.,.,Conservative,Tonbridge and Malling,1,
Tom Watson ,@tom_watson ,uk.m.11309,Tom Watson,Labour,West Bromwich East,1,
Tommy Sheppard ,@TommySheppard ,.,.,Labour,Edinburgh East,1,
Tony Baldry,@TonyBaldry,uk.m.10023,Tony Baldry,,,,1
Tony Cunningham,@tcunninghammp1,uk.m.10834,Tony Cunningham,,,,1
Tony Lloyd,@tony4gtrmcr,uk.m.10367,Tony Lloyd,,,,1
Tracey Crouch ,@tracey_crouch ,uk.m.24871,Tracey Crouch,Conservative,Chatham and Aylesford,1,
Tristram Hunt ,@TristramHuntMP ,uk.m.24850,Tristram Hunt,Labour,Stoke-on-Trent Central,1,
Tulip Siddiq ,@TulipSiddiq ,,,Labour,Hampstead and Kilburn,1,
Valerie Vaz ,@Valerie_VazMP ,uk.m.24852,Valerie Vaz,Labour,Walsall South,1,
Vernon Coaker ,@Vernon_Coaker ,uk.m.10121,Vernon Coaker,Labour,Gedling,1,
Vicky Foxcroft ,@vickyfoxcroft ,.,.,Labour,Lewisham Deptford,1,
Victoria Atkins ,.,.,.,Conservative,Louth and Horncastle,1,
Victoria Prentis ,@VictoriaPrentis ,.,.,Conservative,Banbury,1,
"Victoria, Lady Borwick ",@backborwick ,.,.,Independent[a],Kensington,1,
Virendra Sharma ,@VirendraSharma ,uk.m.13934,Virendra Sharma,Labour,Ealing Southall,1,
Wayne David ,@WayneDavid_MP ,uk.m.10842,Wayne David,Labour,Caerphilly,1,
Wendy Morton ,@morton_wendy ,.,.,Conservative,Aldridge-Brownhills,1,
Wes Streeting ,@wesstreeting ,.,.,Conservative,Ilford North,1,
Will Quince ,@willquince ,.,.,Liberal Democrats,Colchester,1,
William Bain,@William_Bain,uk.m.24697,William Bain,,,,1
William Cash,@BillCashMP,uk.m.10095,William Cash,,,,1
William Hague,@WilliamJHague,uk.m.10251,William Hague,,,,1
William Wragg ,@William_Wragg ,.,.,Liberal Democrats,Hazel Grove,1,
Yasmin Qureshi ,@YasminQureshiMP ,uk.m.24775,Yasmin Qureshi,Labour,Bolton South East,1,
Yvette Cooper ,@YvetteCooperMP ,uk.m.10131,Yvette Cooper,Labour,"Normanton, Pontefract and Castleford",1,
Yvonne Fovargue ,@Y_FovargueMP ,uk.m.24805,Yvonne Fovargue,Labour,Makerfield,1,
Zac Goldsmith ,@ZacGoldsmith ,uk.m.24911,Zac Goldsmith,Conservative,Richmond Park,1,
